VAR_001,VAR_003,VAR_004,VAR_005,VAR_006,VAR_007,VAR_008,VAR_009,VAR_010,VAR_011,VAR_012,VAR_017,VAR_018,VAR_019,VAR_020,VAR_021,VAR_022,VAR_023,VAR_031,VAR_055
4215679,8066,-0.69,17.26,98.64,20.38,7.2,98,51.49,252.03,10.47,21.41,21.82,3.78,4451,17.58,0.48,81.98,30704.73,11.27
4215687,2576,-0.97,18.61,99.16,44.4,0.42,99.48,70.16,296.12,11.77,25.49,20.96,5.69,1833,20.44,0.56,79.59,28102.67,21.53
4215695,1651,1,44.37,99.31,79.38,2.43,99.65,85.62,705.38,10.91,8.98,28.07,8.87,827,18.15,0.46,81.49,40030.46,22.51
4215703,27272,2.69,75.52,80.49,84.69,48.13,99.96,99.26,1259.26,10.94,1.64,45.42,9.27,11534,10.86,0.38,88.11,52551.44,79.22
4215752,2684,-0.18,26.86,99.49,43.62,0.31,99.39,51.28,410.41,10,20.7,25.44,6.73,1608,17,0.45,82.48,39373.42,17.91
4215802,83277,0.9,95.23,91.08,95.45,45.09,99.92,99.59,1278.9,10.39,2.97,49.9,14.23,41959,12.45,0.49,86.59,54415.88,167.97
4215901,2946,-0.17,22.77,98.22,19.98,2.04,100,89.25,674.83,9.14,7.34,22.5,5.3,2097,13.38,0.47,85.72,40278.89,6.38
4216008,10282,-0.01,67.07,89.65,73.97,3.92,99.85,82.47,855.99,10.69,2.92,39.42,11.98,6631,12.79,0.46,86.27,45458.73,63.42
4216057,6084,1.63,75.82,99.32,86.51,64.95,98.37,91.05,421.69,8.82,10.38,29.48,8.71,2047,18.05,0.44,81.57,38928.81,17.59
4216107,9226,-0.15,66.52,93.34,73.24,22.97,99.74,80.97,932.79,11.44,5.48,34.35,9.61,5499,13.31,0.58,85.78,47756.65,25.1
4216206,52674,1.8,92.87,94.43,89.88,23.14,99.68,99.43,1368.62,10.43,5.63,49.98,11.77,20550,13.78,0.45,85.35,155542.28,106.79
4216255,6295,0.29,35.11,97.06,56.03,1.7,99.79,78.87,908.78,12.2,1.4,29.7,6.05,4538,12.31,0.4,86.72,54990.07,38.44
